gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn_Label,total_complaints,resolved_complaints,unresolved_complaints,call_drop_rate,data_usage_gb,throughput_Mbps,complaints_per_tenure,unresolved_ratio,drop_rate_per_tenure,data_usage_per_tenure,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TechSupport_No internet service,TechSupport_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,MultipleLines_No phone service,MultipleLines_Yes,Contract_One year,Contract_Two year
0,0,1,0,1,0,1,29.85,0,13,5,8,0.0625,0.8019588216145834,27.535,6.5,0.5714285714285714,0.03125,0.4009794108072917,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,34,1,0,56.95,0,8,2,6,0.0212962962962962,0.645390625,26.69666666666667,0.22857142857142856,0.6666666666666666,0.0006084656084656057,0.018439732142857143,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,2,1,1,53.85,1,8,2,6,0.0163690476190476,0.7979353841145834,26.06,2.6666666666666665,0.6666666666666666,0.0054563492063492,0.2659784613715278,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,45,0,0,42.3,0,15,4,11,0.0286288126361655,0.6672403971354166,19.79,0.32608695652173914,0.6875,0.0006223654920905543,0.01450522602468297,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,2,1,1,70.7,1,19,6,13,0.0270833333333333,0.7629728190104167,28.206666666666667,6.333333333333333,0.65,0.009027777777777767,0.2543242730034722,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,1,1,99.65,1,20,6,14,0.0421130952380952,0.8746199544270833,30.4725,2.2222222222222223,0.6666666666666666,0.0046792328042328,0.09717999493634259,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,1,22,1,1,89.1,0,8,3,5,0.0256313131313131,0.7705428059895834,17.885833333333334,0.34782608695652173,0.5555555555555556,0.0011144049187527434,0.03350186112998189,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,10,0,0,29.75,0,16,4,12,0.0251683501683501,0.8122998046875001,33.81583333333334,1.4545454545454546,0.7058823529411765,0.0022880318334863726,0.07384543678977273,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,28,1,1,104.8,1,15,1,14,0.0407285575048732,0.8584358723958333,30.386666666666667,0.5172413793103449,0.875,0.0014044330174094205,0.029601236979166664,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,1,62,1,0,56.15,0,9,1,8,0.031985294117647,0.7784879557291666,29.4625,0.14285714285714285,0.8,0.0005077030812324921,0.01235695167824074,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
