,complaint_id,customerID,date,issue,status
28727,CMP168250,0002-ORFBO,2024-06-24,Service outage,Resolved
28732,CMP125706,0002-ORFBO,2024-09-06,Billing error,In Progress
28730,CMP832168,0002-ORFBO,2024-10-08,Slow internet,Resolved
28726,CMP921490,0002-ORFBO,2024-10-12,Slow internet,In Progress
28728,CMP619830,0002-ORFBO,2024-12-17,Billing error,Resolved
28725,CMP152374,0002-ORFBO,2024-12-18,App issue,Open
28731,CMP421428,0002-ORFBO,2024-12-25,Service outage,Resolved
28729,CMP627850,0002-ORFBO,2025-03-23,Unexpected charges,Resolved
43376,CMP670220,0003-MKNFE,2024-05-21,Unexpected charges,In Progress
43380,CMP600913,0003-MKNFE,2024-07-08,Billing error,In Progress
43374,CMP446079,0003-MKNFE,2024-08-08,Service outage,In Progress
43382,CMP218318,0003-MKNFE,2024-08-09,App issue,In Progress
43372,CMP625991,0003-MKNFE,2024-10-14,Frequent disconnection,In Progress
43375,CMP512982,0003-MKNFE,2024-11-12,Billing error,Resolved
43377,CMP119519,0003-MKNFE,2024-11-13,Billing error,Open
43378,CMP240069,0003-MKNFE,2024-12-13,Unexpected charges,In Progress
43379,CMP920491,0003-MKNFE,2025-01-19,Unexpected charges,Closed
43381,CMP982018,0003-MKNFE,2025-02-06,Frequent disconnection,Resolved
43373,CMP530839,0003-MKNFE,2025-03-27,Billing error,In Progress
47716,CMP883732,0004-TLHLJ,2024-07-09,Unexpected charges,In Progress
47713,CMP197802,0004-TLHLJ,2024-09-23,App issue,Open
47714,CMP525375,0004-TLHLJ,2024-10-09,Network issue,Resolved
47712,CMP856616,0004-TLHLJ,2024-11-29,Network issue,Open
47715,CMP409035,0004-TLHLJ,2025-04-16,Frequent disconnection,Open
73399,CMP821479,0011-IGKFF,2024-05-29,Frequent disconnection,Open
73403,CMP907234,0011-IGKFF,2024-06-10,Frequent disconnection,In Progress
73395,CMP581100,0011-IGKFF,2024-06-11,Frequent disconnection,Closed
73396,CMP897863,0011-IGKFF,2024-06-20,Unexpected charges,Resolved
73398,CMP919033,0011-IGKFF,2024-07-10,App issue,Resolved
73393,CMP397029,0011-IGKFF,2024-07-16,Service outage,Open
73392,CMP672443,0011-IGKFF,2024-09-20,Network issue,Closed
73401,CMP915349,0011-IGKFF,2024-10-26,Frequent disconnection,In Progress
73397,CMP705939,0011-IGKFF,2024-12-13,Network issue,In Progress
73400,CMP600004,0011-IGKFF,2025-01-17,Unexpected charges,Resolved
73394,CMP331240,0011-IGKFF,2025-03-11,App issue,Open
73402,CMP657534,0011-IGKFF,2025-04-16,Unexpected charges,Open
68971,CMP138307,0013-EXCHZ,2024-07-20,Billing error,Closed
68977,CMP555755,0013-EXCHZ,2024-07-24,Unexpected charges,In Progress
68981,CMP970114,0013-EXCHZ,2024-10-24,Frequent disconnection,Closed
68978,CMP435668,0013-EXCHZ,2024-10-27,Unexpected charges,In Progress
68972,CMP570106,0013-EXCHZ,2024-10-30,Service outage,Closed
68979,CMP751791,0013-EXCHZ,2024-12-01,Service outage,Open
68980,CMP621320,0013-EXCHZ,2025-02-21,Slow internet,Open
68973,CMP825267,0013-EXCHZ,2025-03-20,Slow internet,Open
68976,CMP346054,0013-EXCHZ,2025-03-26,Frequent disconnection,In Progress
68974,CMP129992,0013-EXCHZ,2025-04-21,Unexpected charges,In Progress
68975,CMP775792,0013-EXCHZ,2025-04-25,Unexpected charges,Open
15227,CMP124495,0013-MHZWF,2024-05-13,Billing error,Closed
15232,CMP369257,0013-MHZWF,2024-10-01,Poor customer service,Closed
15229,CMP775516,0013-MHZWF,2024-10-02,Network issue,In Progress
15228,CMP165060,0013-MHZWF,2024-11-02,Billing error,Closed
15230,CMP769062,0013-MHZWF,2024-12-11,Frequent disconnection,Closed
15231,CMP906693,0013-MHZWF,2024-12-21,Network issue,Resolved
29565,CMP244853,0013-SMEOE,2024-05-14,Service outage,Resolved
